element,subelement,specific part,price
TYRES,,240.78,
ENGINE OIL,,47.03,
BRAKE SYSTEM,"Accessory kit, disc brake pads",,5.24
BRAKE SYSTEM,"Bolt, brake disc",,1.74
BRAKE SYSTEM,Brake caliper repair kit,,13.50
BRAKE SYSTEM,Brake calipers,,155.81
BRAKE SYSTEM,Brake discs,,42.27
BRAKE SYSTEM,Brake fluid,,1.88
BRAKE SYSTEM,Brake hose,,1.88
BRAKE SYSTEM,Brake light switch,,11.75
BRAKE SYSTEM,Brake pad wear sensor,,2.58
BRAKE SYSTEM,Brake pads,,18.33
BRAKE SYSTEM,Brake servo,"Pressure Sensor, brake booster",40.73
BRAKE SYSTEM,Brake servo,Brake Booster,189.76
BRAKE SYSTEM,"Guide sleeve kit, brake caliper","Accessory Kit, brake caliper",1.04
BRAKE SYSTEM,"Guide sleeve kit, brake caliper","Guide Sleeve Kit, brake caliper",6.50
BRAKE SYSTEM,Master cylinder,,143.91
BRAKE SYSTEM,"Piston, brake caliper",,9.09
FILTERS,Air filter,,79.79
FILTERS,Fuel filter,,18.89
FILTERS,Oil filter,,3.35
FILTERS,Pollen filter,,10.35
FILTERS,Receiver drier,,32.26
ENGINE,Air filter,,79.79
ENGINE,Antifreeze,,3.91
ENGINE,Boost gauge,,17.00
ENGINE,Camshaft sensor,,17.49
ENGINE,Coolant temperature sensor,"Sensor, oil temperature",11.89
ENGINE,Coolant temperature sensor,"Sensor, coolant temperature",11.89
ENGINE,Crankshaft seal,,10.70
ENGINE,Crankshaft sensor,,43.39
ENGINE,Drain plug,"Seal, oil drain plug",0.20
ENGINE,Drain plug,"Sealing Plug, oil sump",0.76
ENGINE,Engine electrics,"Sender Unit, intake air temperature",10.21
ENGINE,Engine electrics,"Sensor, camshaft position",17.49
ENGINE,Engine electrics,"Sensor, oil temperature",11.89
ENGINE,Engine electrics,"Sensor, crankshaft pulse",43.39
ENGINE,Engine electrics,"Sensor, boost pressure",17.00
ENGINE,Engine mount,,84.90
ENGINE,Exhaust manifold gasket,,3.84
ENGINE,Fuel filter,,18.89
ENGINE,Glow plugs,,10.14
ENGINE,Head bolts,,12.59
ENGINE,High pressure fuel pump,,533.60
ENGINE,Ignition lead,,2.72
ENGINE,Injector seals,"Seal Ring, nozzle holder",1.67
ENGINE,Injector seals,"Seal Kit, injector nozzle",9.09
ENGINE,Injector seals,"Seal Ring, injector",79.93
ENGINE,Injectors,"Puller, injector seal",0.76
ENGINE,Injectors,"Dismantling Tool, injector",71.46
ENGINE,Injectors,Injector Nozzle,346.00
ENGINE,Injectors,Nozzle,0.76
ENGINE,"Mounting kit, charger",,28.06
ENGINE,Oil cooler,,35.90
ENGINE,Oil drain plug gasket,,0.20
ENGINE,Oil filter,,3.35
ENGINE,Oil temperature sensor,,11.89
ENGINE,Poly v-belt,,10.07
ENGINE,Radiator,,116.12
ENGINE,Rocker cover gasket,"Gasket, cylinder head cover",4.12
ENGINE,Rocker cover gasket,"Seal Ring, injector shaft",1.67
ENGINE,Rocker cover gasket,"Seal Ring, nozzle holder",1.67
ENGINE,"Sender unit, intake air temperature",,10.21
ENGINE,Sump gasket,,3.28
ENGINE,Tappet,,5.52
ENGINE,Turbocharger gasket,"Gasket, exhaust manifold",28.06
ENGINE,Turbocharger gasket,"Mounting Kit, charger",28.06
